production_companies,budget
 KTB Network,8500000.0
 Kabir Khan Films,13000000.0
 Kavac Film,0.0
 Kendrick Brothers,2833333.3333333335
 Kennedy Miller Mitchell,150000000.0
 Kenya Films,20000000.0
 Kernos,21000000.0
 Kevin Feige Productions,250000000.0
 Kiagli Releasing,17500000.0
 Kiarostami Foundation,0.0
 Killer Films,12000000.0
 Kimera Film,0.0
 Kinema Sarajevo,0.0
 Kingsgate Films,0.0
 Kinology,650000.0
 Kiwi Media Group,3250000.0
 Kodak Argentina S.A.,1300000.0
 Kodansha,2175000.0
 Komuna,7000000.0
 Korea Pictures,0.0
 Korean Film Council,18300000.0
 Korokoro,0.0
 Kotobuki Seihan Printing,3000000.0
 Krátký film Praha – Studio Jiřího Trnky,0.0
 Kubla Khan,0.0
 Kurosawa Film Production,12000000.0
 Kurosawa Production,2083333.3333333333
 Kuzui Enterprises,0.0
 Kylin Pictures,40000000.0
 LBP,0.0
 LOCUS Corporation,20000000.0
 La Compagnie Cinématographique,21400000.0
 La Parti Production,12500000.0
 La Région Île-de-France,7300000.0
 La Scala Films,0.0
 La Sept Cinéma,2600000.0
 La Victoria Films,0.0
 Lago Film,47000000.0
 Lantis,0.0
 Las Producciones del Escorpion,17000000.0
 LaserDisc Corporation,5700000.0
 Lava Bear Films,47000000.0
 Lawrence Bender Productions,0.0
 Lawrence Gordon Productions,21000000.0
 Lawrence Turman Productions,3000000.0
 Lawson Entertainment,0.0
 Le Studio Canal+,56000000.0
 Lee Mendelson Film Productions,96000.0
 Legendary Pictures,153250000.0
 Leone Film Group,0.0
 Les Contes Modernes,1300000.0
 Les Films Alain Sarde,15000000.0
 Les Films Ariane,5000000.0
 Les Films Armorial,0.0
 Les Films Concordia,0.0
 Les Films Gibé,0.0
 Les Films Marceau,0.0
 Les Films Marceau-Cocinor,0.0
 Les Films de la Pléiade,64000.0
 Les Films des Tournelles,4000000.0
 Les Films des deux mondes,0.0
 Les Films du Carrosse,0.0
 Les Films du Dauphin,16000000.0
 Les Films du Fleuve,0.0
 Les Films du Losange,0.0
 Les Productions Lazennec,2600000.0
 Les Productions de la Guéville,0.0
 Les films du Worso,5300000.0
 Levantine Films,25000000.0
 Ley Line Entertainment,25000000.0
 Lian Ray Pictures,0.0
 Liberator Productions,11250000.0
 Lifetime,0.0
 Light Chaser Animation Studios,0.0
 Lightstorm Entertainment,217333333.33333334
 Limp,35000000.0
 Linson Entertainment,34333333.333333336
 Lions Gate Films,8750000.0
 Lionsgate,48333333.333333336
 Lipsync Productions,0.0
 Living Films,55000000.0
 Logical Content Ventures,29636409.5
 LokizFilms,5300000.0
 Long Road Productions,6000000.0
 Lord Miller,95000000.0
 Lost Bandits,110000000.0
 Lotus Production,0.0
 Louverture Films,4000000.0
 Lowndes Productions Limited,0.0
 Ltd.,9500000.0
 Lucasfilm Ltd.,33000000.0
 Lucky Red,0.0
 Lumière,3300000.0
 Lux Film,0.0
 Lynda Obst Productions,165000000.0
 Légende Films,50000000.0
 M-Line Distribution,627500.0
 M.Y.R.A. Entertainment,3500000.0
 M6 Films,46000000.0
 MACRO,25000000.0
 MACT Productions,1480000.0
 MAGES.,0.0
 MAGNET,0.0
 MAPPA,0.0
 MBK Productions,0.0
 MBS,0.0
 MC Producciones,1400000.0
 MIFF Premiere Fund,4350000.0
 MIRACLE Productions,100000000.0
 MK2 Films,9500000.0
 MMC Independent,10000000.0
 MRC,40000000.0
 MUVI Films,0.0
 Mac Guff Ligne,0.0
 Mad Hatter Entertainment,64500000.0
 Mad Solar,0.0
 Madeleine Films,0.0
 Madhouse,0.0
 Madhouse Entertainment,46000000.0
 Magellan Films,0.0
 Magna Global Entertainment,0.0
 Magnolia Mae Films,55000000.0
 Main Journey,21400000.0
 Majestic Films International,22000000.0
 Majgaard,5070773.0
 Malpaso Productions,25600000.0
 Mama se fue de viaje la pelicula,3400000.0
 Manchester Films,23000000.0
 Mandate International,12000000.0
 Mandeville Films,20000000.0
 MarVista Entertainment,0.0
 Maran Film,750000.0
 Marc Platt Productions,103750000.0
 Mark Johnson Productions,17000000.0
 Mars Film Produzione,750000.0
 Mars Films,0.0
 Martin Bregman Productions,25000000.0
 Marv,81000000.0
 Marvel Entertainment,97000000.0
 Marza Animation Planet,122000000.0
 Matchbox Pictures,4500000.0
 Maybe Movies,12500000.0
 McFarland Entertainment,0.0
 Me contro Te,75000.0
 Media Asia Films,90000000.0
 Mediamax Films,0.0
 Mediaset Premium,0.0
 Medusa Film,0.0
 Melampo Cinematografica,20000000.0
 Melusine Productions,6870000.0
 Memento Films International,3500000.0
 Memento Films Production,5800000.0
 Memfis Film,10000000.0
 Memory-Tech,0.0
 Menuet,0.0
 Merkel Media,4000000.0
 MetFilm Production,0.0
 Method Animation,0.0
 Metro-Goldwyn-Mayer,15437500.0
 Metrol Technology,0.0
 MiC,0.0
 Michael White Productions,400000.0
 Michigan Venture Capital,2000000.0
 Mid March Media,110000000.0
 Migdal Filmes,2000000.0
 Mikado Film,17500000.0
 Mike Nichols Productions,3000000.0
 Mike Zoss Productions,25000000.0
 Mill Film,103000000.0
 Mimran Schur Pictures,25000000.0
 Ministerio de Cultura,2000000.0
 Miracle Pictures,17500000.0
 Mirae Asset Capital,0.0
 Miramax,26500000.0
 Misher Films,2500000.0
 Misión de Audaces Films,65500000.0
 Mitsubishi,15550000.0
 Mitsubishi Shoji,36150000.0
 Miyagi Television Broadcasting,0.0
 Mogambo Films,100000000.0
 Molinare Investment,15000000.0
 Momentum Pictures,15000000.0
 Monolith Pictures,250000000.0
 Mooz Films,4000000.0
 Mosfilm,1000000.0
 Motion Content Group,0.0
 Motion Picture Associates,13000000.0
 Movie Partners In Motion Film,1000000.0
 Movie Walker,0.0
 Movierock,0.0
 Movistar Plus+,4000000.0
 Muhan Investment,1400000.0
 Mutual Film Company,70000000.0
 N279 Entertainment,4750000.0
 NPS,10000000.0
 NPV Entertainment,25000000.0
 NTT Docomo,0.0
 Nadler No-GMO Popcorn Company,0.0
 Nagoya Broadcasting Network,0.0
 National Film Trustee Company,400000.0
 Naya Films SA,1300000.0
 Naymar,0.0
 Neal Street Productions,100000000.0
 Nelson Entertainment,20000000.0
 Nemuru Otoko Seisaku Iinkai,0.0
 Netflix,32750000.0
 Netter Productions,29000000.0
 Neverending Media,5000000.0
 New Film Studio of Beijing Starlight International Media Co. Ltd.,11700000.0
 New Leaf Literary & Media,17000000.0
 New Republic Pictures,87500000.0
 New Zealand Film Production Fund,25000000.0
 Newmarket Films,22250000.0
 Next Entertainment World,20000000.0
 Nexus Factory,0.0
 Nibariki,9260000.0
 Nichion,0.0
 Nimbus Film,1300000.0
 Nine Network Australia,420000.0
 Nippan Group Holdings,5000000.0
 Nippon Columbia,0.0
 Nippon Television Network Corporation,14743750.0
 No Trace Camping,13000000.0
 Noodles Production,5300000.0
 Norman Studio,0.0
 Norsk TV2 AS,10000000.0
 Nostromo Pictures,4000000.0
 Nouvelles Éditions de Films,0.0
 Novo Arturo Films,5300000.0
 Novofilm,14000000.0
 Nthibah Pictures,30000000.0
 Nørlum,0.0
 OCS,6000000.0
 OG Medya,0.0
 OLC / Rights Entertainment,25000000.0
 ON Animation Studios,86000000.0
 ONIRO,3000000.0
 OPE Partners,16000000.0
 ORF,16000000.0
 ORTF,0.0
 Ocean Films,200000.0
 October Media,22000000.0
 Odra-Film,5500000.0
 Office Kitano,0.0
 Office National pour le Commerce et l'Industrie Cinématographique (ONCIC),0.0
 Okko Production,21400000.0
 Olmos Productions,0.0
 Oma Inge Film,0.0
 One Community,25000000.0
 One Cool Films,75000000.0
 Open City Films,4000000.0
 Open Road Films,20000000.0
 Opera Film Produzione,437500.0
 Opperman Viner Chrystyn Entertainment,16000000.0
 Orange,4000000.0
 Organización Santo Domingo,0.0
 Original Film,122000000.0
 Otto Preminger Films,2000000.0
 Outlier Society,25000000.0
 Overbrook Entertainment,35000000.0
 P of A Productions,130000000.0
 PEA,5100000.0
 PROCIREP,3650000.0
 PSO,30000000.0
 PVR Inox Pictures,2600000.0
 Pacific Western,54200000.0
 Page 114,6600000.0
 Pain Unlimited Filmproduktion,11250000.0
 Painted House Films,0.0
 Palatine Étoile 17,9850000.0
 PalmStar Media,4000000.0
 Panache Productions,21400000.0
 Pandemonium,50000000.0
 Pandora Cinema,4500000.0
 Pandora Film,4666666.666666667
 Pandora Pictures,11800000.0
 Panique!,3000000.0
 Panorama Global,849080.0
 Pantaleon Films,0.0
 Pantelion Films,5000000.0
 Paradis Films,3000000.0
 Parallel Films,0.0
 Paramount Pictures,80833333.33333333
 Paramount Pictures Brasil,2000000.0
 Paramount Vantage,20000000.0
 Paraná Filmes,0.0
 Pariah,19000000.0
 Paris Filmes,2000000.0
 Paris-Film Production,0.0
 Park Road Post,25000000.0
 Parkes+MacDonald Production,52000000.0
 Participant,22500000.0
 Partizan Films,110000000.0
 Pascal Pictures,107500000.0
 Patalex III Productions,150000000.0
 Patalex IV Productions,150000000.0
 Pathé,17318204.75
 Pathé Consortium Cinéma,0.0
 Pathé Exchange,121000.0
 Pathé Overseas,0.0
 Pathé Renn Productions,5300000.0
 Penta Entertainment,22000000.0
 Penta Film,3000000.0
 Peppermint & Company,6000000.0
 Peregrine,15000000.0
 Perfect World Pictures,25000000.0
